<UNK>	<UNK>
What is the name of the antitumor monoclonal antibody that targets epidermal growth factor receptor?	Cetuximab is the antitumor monoclonal antibody that targets epidermal growth factor receptor.
What is the name of the antitumor monoclonal antibody that targets CD52 of lymphocytes?	Alemtuzumab is the antitumor monoclonal antibody that targets CD52 of lymphocytes.
What is the name of the antitumor monoclonal antibody that targets CD20 of B-cells?	Rituximab is the antitumor monoclonal antibody that targets CD20 of B-cells.
What is the name of the antitumor monoclonal antibody used to treat stage IV colorectal carcinoma (wild-type KRAS)?	Cetuximab is the antitumor monoclonal antibody used to treat stage IV colorectal carcinoma (wild-type KRAS).
What is the name of the antitumor monoclonal antibody used to treat SCC of the head and neck?	Cetuximab is the antitumor monoclonal antibody used to treat SCC of the head and neck.
Which antitumor monoclonal antibody is known to be associated with heart failure (cardiotoxicity)?	Trastuzumab (Herceptin) is the antitumor monoclonal antibody known to be associated with heart failure (cardiotoxicity).
What is the name of the antitumor monoclonal antibody that inhibits angiogenesis?	Bevacizumab is the antitumor monoclonal antibody that inhibits angiogenesis.
Which antitumor monoclonal antibody is associated with an increased risk of bleeding and thromboembolism?	Bevacizumab is the antitumor monoclonal antibody associated with an increased risk of bleeding and thromboembolism.
What is the name of the antitumor monoclonal antibody that can be used to treat vasculitides?	Rituximab is the antitumor monoclonal antibody that can be used to treat vasculitides.
What is the name of the antitumor monoclonal antibody that can be used to treat rheumatoid arthritis?	Rituximab is the antitumor monoclonal antibody that can be used to treat rheumatoid arthritis.
Which antitumor monoclonal antibody is associated with the risk of developing progressive multifocal leukoencephalopathy (PML)?	Rituximab is the antitumor monoclonal antibody that is associated with the risk of developing progressive multifocal leukoencephalopathy (PML).
What is the name of the antitumor antibiotic drug that only intercalates into DNA?	Actinomycin D is the antitumor antibiotic drug that solely intercalates into DNA.
What is the name of the antitumor antibiotic drug that forms free radicals, causing strand breaks in DNA?	Bleomycin is the antitumor antibiotic drug that solely forms free radicals, causing strand breaks in DNA.
What are the names of the antispasmodics that are commonly used to treat irritable bowel syndrome?	Hyoscyamine and Dicyclomine are the antispasmodics that are used to treat irritable bowel syndrome.
Which antipsychotic medication can disrupt thermoregulation and the body's shivering mechanism, leading to hypothermia as a rare side effect?	Fluphenazine is the antipsychotic medication that occasionally causes hypothermia by disrupting thermoregulation and the body's shivering mechanism.
What is the antiplatelet agent that is recommended for all patients within 24 hours of presenting with an ischemic stroke?	Aspirin is the antiplatelet agent that is recommended for all patients within 24 hours of ischemic stroke presentation.
What is the antimycobacterial agent that may trigger gout attacks?	Pyrazinamide is the antimycobacterial agent that may precipitate gout attacks.
What antimicrobial medication can cause a metallic taste in the mouth as a side effect?	Metronidazole is the antimicrobial medication that can result in a metallic taste in the mouth.
What antimalarial medication can cause hemolysis specifically in individuals with G6PD deficiency?	Primaquine is the antimalarial medication that can cause hemolysis in individuals with G6PD deficiency.
What antimalarial medication has activity against Plasmodium hypnozoites?	Primaquine is the antimalarial medication that has activity against Plasmodium hypnozoites.
What antimalarial medication can cause retinopathy, specifically bull's eye maculopathy?	Chloroquine is the antimalarial medication that can result in retinopathy, specifically bull's eye maculopathy.
What antimalarial medication can cause pruritus, especially in patients with dark skin?	Chloroquine is the antimalarial medication that can result in pruritus, especially in dark-skinned patients.
What antifungal medication works by disrupting mitotic spindles?	Griseofulvin is the antifungal medication that works by disrupting mitotic spindles.
What antifungal medication is used to prevent candidiasis in patients who are undergoing hematopoietic stem cell transplant?	Micafungin is the antifungal medication that is used to prevent candidiasis in patients who are undergoing hematopoietic stem cell transplant.
What antifungal medication is used to treat prostate cancer?	Ketoconazole is the antifungal medication that is used to treat prostate cancer.
What antifungal medication is used to treat local infections caused by dimorphic fungi?	Itraconazole is the antifungal medication that is used to treat local infections of dimorphic fungi.
What antifungal medication is used in the treatment of Cushing syndrome?	Ketoconazole is the antifungal medication that is used in the treatment of Cushing syndrome.
What antifungal medication is used to treat severe, systemic fungal infections?	Amphotericin B is the antifungal medication that is used to treat severe, systemic fungal infections.
What antifungal medication is converted to 5-fluorouracil in fungal cells?	Flucytosine is the antifungal medication that is metabolized to 5-fluorouracil in fungal cells.
What antifungal medication has fungistatic properties?	Griseofulvin is the antifungal medication that is fungistatic.
What antifungal medication is not recommended for patients with porphyrias due to contraindications?	Griseofulvin is the antifungal medication that is contraindicated in patients with porphyrias.
What antifungal medication inhibits fungal DNA and RNA/protein synthesis?	Flucytosine is the antifungal medication that inhibits fungal DNA and RNA/protein synthesis.
What antifungal medication inhibits the production of cortisol?	Ketoconazole is the antifungal medication that inhibits cortisol production.
What antifungal medication inhibits the synthesis of androgen and estrogen?	Ketoconazole is the antifungal medication that inhibits androgen and estrogen synthesis.
What antifungal medication has a cross-reactivity with hypersensitivity to penicillin?	Griseofulvin is the antifungal medication that has a cross-reactivity with penicillin hypersensitivity.
What antifungal medication can cause thrombophlebitis?	Amphotericin B is the antifungal medication that can result in thrombophlebitis.
What antifungal medication can cause bone marrow suppression?	Flucytosine is the antifungal medication that can result in bone marrow suppression.
What antifungal medication can cause arrhythmia as a result of hypokalemia?	Amphotericin B is the antifungal medication that can result in arrhythmia due to hypokalemia.
What antifungal medication can cause anemia as a result of decreased erythropoietin (EPO) production?	Amphotericin B is the antifungal medication that can result in anemia due to decreased EPO production.
What antifungal medication can result in a disulfiram-like reaction?	Griseofulvin is the antifungal medication that can cause a disulfiram-like reaction.
What antifungal medication inhibits fungal protein synthesis?	Flucytosine is the antifungal agent that can inhibit fungal protein synthesis.
What antifungal medication can cause both hypomagnesemia and hypokalemia?	Amphotericin B is the antifungal agent that can result in both hypomagnesemia and hypokalemia.
What antidiabetic medication is used for treating infertility in polycystic ovarian syndrome (PCOS)?	Metformin is the antidiabetic medication used to treat infertility in PCOS.
What antidepressant medication is beneficial for patients who have primary complaints of low energy, impaired concentration, hypersomnia, and weight gain?	Bupropion is the antidepressant medication that is likely to be useful for patients with these symptoms.
In the setting of an acute myocardial infarction (MI), which anticoagulant is typically used - warfarin or heparin?	Heparin is the anticoagulant that may be used in the setting of an acute MI.
Which anticoagulant is typically used for immediate anticoagulation - warfarin or heparin?	Heparin is the anticoagulant that is used for immediate anticoagulation.
For chronic anticoagulation, which anticoagulant is typically used - warfarin or heparin?	Warfarin is the anticoagulant that is used for chronic anticoagulation.
Which anticoagulant has a slow onset of action, taking days to become effective - warfarin or heparin?	Warfarin has a slow onset of action, taking days to become effective.
Which anticoagulant has a fast onset of action, taking hours to become effective - warfarin or heparin?	Heparin has a fast onset of action, taking hours to become effective.
Among anticoagulants, which one has the highest efficacy on factor Xa?	Low molecular weight heparin (LMWH) has the greatest efficacy on factor Xa.
Among anticoagulants, which one has the highest efficacy on factor IIa (thrombin)?	Heparin has the greatest efficacy on factor IIa (thrombin).
Which antibody is known for being sensitive, but not specific for systemic lupus erythematosus (SLE)?	Antinuclear antibodies (ANA) are sensitive, but not specific for SLE.
Which antibody is known for being sensitive in drug-induced lupus?	Anti-histone antibodies are sensitive for drug-induced lupus.
Which antibodies are known for being specific, but not sensitive for systemic lupus erythematosus (SLE)?	Anti-dsDNA and anti-Smith antibodies are specific, but not sensitive for SLE.
Among antibodies, which one is known for being specific for systemic lupus erythematosus (SLE) with renal involvement?	Anti-dsDNA antibodies are specific for SLE with renal involvement.
Which antibiotics should not be taken with antacids, milk, or ferrous sulfate due to decreased absorption?	Tetracyclines and fluoroquinolones should not be taken with antacids, milk, or ferrous sulfate.
Among antibiotics, which ones can cause tendonitis, tendon rupture, and cartilage damage as potential adverse effects?	Fluoroquinolones can cause tendonitis, tendon rupture, and cartilage damage as potential adverse effects.
Among antibiotics, which ones can cause neuromuscular blockade as a potential adverse effect?	Aminoglycosides can cause neuromuscular blockade as a potential adverse effect.
Among antibiotics, which ones can cause acute tubular necrosis as a potential adverse effect?	Aminoglycosides can cause acute tubular necrosis as a potential adverse effect.
Among antibiotics, which ones can cause acute cholestatic hepatitis as a potential adverse effect?	Macrolides (ending with -thromycin) can cause acute cholestatic hepatitis as a potential adverse effect.
Among antibiotics, which ones bind to the 50S ribosomal subunit and suppress translocation as their mechanism of action?	Clindamycin and macrolides bind to the 50S ribosomal subunit and suppress translocation as their mechanism of action.
Among antibiotics, which ones bind divalent ions such as Fe2+, Ca2+, and Mg2+ resulting in chelation?	Tetracyclines and fluoroquinolones bind divalent ions such as Fe2+, Ca2+, and Mg2+ resulting in chelation.
What are the antibiotics used to treat infections caused by VRE (vancomycin-resistant enterococcus), which is commonly Enterococcus faecium?	The antibiotics used to treat infections caused by VRE are IV linezolid and tigecycline.
What is the antibiotic used for both prophylaxis and treatment of Pneumocystis jirovecii pneumonia?	Trimethoprim-sulfamethoxazole (TMP-SMX) is the antibiotic used for both prophylaxis and treatment of Pneumocystis jirovecii pneumonia.
What class of antibiotics is commonly used in combination with β-lactams or vancomycin to enhance their penetration of cells?	Aminoglycosides are the class of antibiotics commonly used in combination with β-lactams or vancomycin to enhance their penetration of cells.
What are the classes of antibiotics that are chelated by cations such as Ca2+, Fe2+, and Mg2+?	Tetracyclines and fluoroquinolones are the classes of antibiotics that are chelated by cations such as Ca2+, Fe2+, and Mg2+.
Which class of antibiotics is commonly associated with photosensitivity, teeth discoloration, and gastrointestinal side effects?	Tetracyclines are the class of antibiotics commonly associated with photosensitivity, teeth discoloration, and gastrointestinal side effects.
What class of antibiotics is actively transported into the cell via an oxygen-dependent process?	Aminoglycosides are the class of antibiotics that are actively transported into the cell via an oxygen-dependent process.
What are the two classes of antibiotics that can prolong the QT interval?	Macrolides and fluoroquinolones are the classes of antibiotics that can prolong the QT interval.
Which antibiotic use in infants is specifically associated with hypertrophic pyloric stenosis?	Erythromycin is the antibiotic use in infants that is specifically associated with hypertrophic pyloric stenosis.
What is the antibiotic used to treat C. difficile (pseudomembranous colitis) that is unresponsive to Vancomycin?	Oral metronidazole is the antibiotic used to treat C. difficile (pseudomembranous colitis) that is unresponsive to Vancomycin.
What antibiotic is commonly used in the empiric treatment of bacterial endocarditis?	Vancomycin is the antibiotic commonly used in the empiric treatment of bacterial endocarditis.
What antibiotic is used for the treatment of oral infections and aspiration pneumonia caused by Bacteroides fragilis?	Clindamycin is the antibiotic used for the treatment of oral infections and aspiration pneumonia caused by Bacteroides fragilis.
What antibiotic is used as treatment for Bartonella henselae (cat-scratch)?	Azithromycin is the antibiotic used as treatment for Bartonella henselae (cat-scratch).
What is the antibiotic typically used to treat meningitis in developing countries?	Chloramphenicol is the antibiotic typically used to treat meningitis in developing countries.
What is the first-line antibiotic in the treatment of intra-abdominal anaerobic infections?	Metronidazole is the first-line antibiotic in the treatment of intra-abdominal anaerobic infections.
What is an alternative antibiotic agent for Rickettsial infections, especially in pregnancy when doxycycline is contraindicated?	Chloramphenicol is an alternative antibiotic agent for Rickettsial infections, especially in pregnancy when doxycycline is contraindicated.
What antibiotic causes depolarization of the cell membrane by inserting itself into the cell membrane?	Daptomycin is the antibiotic that inserts itself into the cell membrane, causing depolarization of the cell membrane.
How does the antibiotic create transmembrane channels and depolarize bacterial cell membranes?	Daptomycin depolarizes bacterial cell membranes via creation of transmembrane channels.
What antibiotic class is used to treat extended spectrum β-lactamase (ESBL)-producing gram-negative bacteria?	Carbapenems are the antibiotic class used to treat extended spectrum β-lactamase (ESBL)-producing gram-negative bacteria.
What antibiotic class binds the 23S rRNA of the 50S ribosomal subunit of bacteria?	Macrolides (-thromycin) are the antibiotic class that binds the 23S rRNA of the 50S ribosomal subunit of bacteria.
How does the antibiotic inhibit translation by causing the misreading of mRNA?	Aminoglycosides cause the misreading of mRNA and inhibition of translation.
What antibiotic causes red man syndrome?	Vancomycin is the antibiotic that causes red man syndrome.
What antibiotic can cause myopathy and rhabdomyolysis as potential side effects?	Daptomycin is the antibiotic that can present with myopathy and rhabdomyolysis.
What antibiotic can cause serotonin toxicity when taken with SSRIs, SNRIs, MAOIs, and bupropion?	Linezolid is the antibiotic that can precipitate serotonin toxicity when coadministered with SSRIs, SNRIs, MAOIs, and bupropion.
What antibiotic can lead to thrombophlebitis at the site of injection?	Vancomycin is the antibiotic that can cause thrombophlebitis at the injection site.
What antibiotic can bind to the GI motilin receptors and cause diarrhea as a side effect?	Erythromycin is the antibiotic that can bind GI motilin receptors, resulting in diarrhea.
What antibiotic inhibits peptidyltransferase at the 50S subunit?	Chloramphenicol is the antibiotic that blocks peptidyltransferase at the 50S subunit.
What antibiotic inhibits the formation of the initiation complex by binding to the 50S ribosomal subunit?	Linezolid is the antibiotic that binds to the 50S ribosomal subunit and inhibits the formation of the initiation complex.
What antibiotic irreversibly inhibits the formation of the initiation complex by binding to the 30S ribosomal subunit?	Aminoglycosides are the antibiotics that bind the 30S ribosomal subunit, irreversibly inhibiting the formation of the initiation complex.
What antibiotic directly binds to the D-ala-D-ala sequence found in bacterial cell walls?	Vancomycin is the antibiotic that binds directly to the D-ala-D-ala sequence of bacterial cell walls.
What antibacterial drug is known to cause a red-orange discoloration of body fluids?	Rifampin is the antibacterial drug that may produce a red-orange discoloration of body fluids.
What antiarrhythmic medication can be used in the treatment of Plasmodium falciparum malaria?	Quinidine is the antiarrhythmic medication that can be used to treat Plasmodium falciparum malaria.
What anti-scabies/louse therapy inhibits the deactivation of Na+ channels?	Permethrin is the anti-scabies/louse therapy that inhibits Na+ channel deactivation.
What anti-scabies/louse therapy inhibits the activity of acetylcholinesterase?	Malathion is the anti-scabies/louse therapy that inhibits acetylcholinesterase.
What anti-scabies/louse therapy causes depolarization of the neuronal membrane?	Permethrin is the anti-scabies/louse therapy that causes neuronal membrane depolarization.
What anti-scabies/louse therapy blocks the GABA channels?	Lindane is the anti-scabies/louse therapy that blocks GABA channels.
Which anti-retroviral agent is known for causing neuropsychiatric side effects such as depression and vivid dreams?	Efavirenz (NNRTI) is the anti-retroviral agent that is associated with neuropsychiatric side effects.
Between tiotropium and ipratropium, which anti-muscarinic has a longer duration of action?	Tiotropium is the anti-muscarinic with a longer duration of action.
With which class of antimicrobials is Aztreonam particularly synergistic?	Aztreonam is particularly synergistic with aminoglycosides.
What anti-influenza drug increases the synthesis and release of dopamine and also inhibits its reuptake?	Amantadine is the anti-influenza drug that has these effects on dopamine.
What is the name of the anti-influenza drug that can also be used to treat Parkinson's disease?	Amantadine is the anti-influenza drug that can be used to treat Parkinson's disease.
Which anti-influenza agent is beneficial in managing Parkinson's disease?	Amantadine is the anti-influenza agent that is useful in managing Parkinson's disease.
What are the names of the anti-epileptic medications that can be used for migraine prophylaxis?	Topiramate and valproic acid are the anti-epileptic medications that may be used for migraine prophylaxis.
Among anti-epileptic medications, which one is most commonly associated with drug-induced lupus?	Phenytoin is the anti-epileptic medication that is most associated with drug-induced lupus.
Among anti-epileptic medications, which one is most commonly associated with DRESS syndrome (Drug Reaction with Eosinophilia and Systemic Symptoms)?	Phenytoin is the anti-epileptic medication that is most associated with DRESS syndrome.
Among anti-epileptic medications, which one is eliminated via zero-order kinetics?	Phenytoin is the anti-epileptic medication that is eliminated via zero-order kinetics.
Which anti-depressant medication is known to be associated with priapism?	Trazodone is the anti-depressant medication that is known to be associated with priapism.
Among anti-convulsant drugs, which one is most commonly associated with Stevens-Johnson syndrome?	Lamotrigine is the anti-convulsant drug that is most commonly associated with Stevens-Johnson syndrome.
Which hormones of the anterior pituitary gland appear basophilic on histological preparation?	FSH, LH, ACTH, and TSH are the hormones of the anterior pituitary gland that appear basophilic on histological preparation.
Which hormones of the anterior pituitary gland appear acidophilic on histological preparation?	GH (growth hormone) and prolactin are the hormones of the anterior pituitary gland that appear acidophilic on histological preparation.
Which antacid is known to cause proximal muscle weakness and seizures if overused?	Aluminum hydroxide is the antacid that is associated with proximal muscle weakness and seizures if overused.
Which antacid is known to cause hyporeflexia, hypotension, and cardiac arrest if overused?	Magnesium hydroxide is the antacid that is associated with hyporeflexia, hypotension, and cardiac arrest if overused.
Which antacid is known to cause hypophosphatemia and osteodystrophy if overused?	Aluminum hydroxide is the antacid that is associated with hypophosphatemia and osteodystrophy if overused.
Which antacid is known to cause hypercalcemia (milk-alkali syndrome) and rebound acid increase?	Calcium carbonate is the antacid that is associated with hypercalcemia (milk-alkali syndrome) and rebound acid increase.
Which antacid is known to cause diarrhea if overused?	Magnesium hydroxide is the antacid that is associated with diarrhea if overused.
Which antacid is known to cause constipation if overused?	Aluminum hydroxide is the antacid that is associated with constipation if overused.
In the United States, which animal is the most common carrier of the rabies virus (rhabdovirus)?	Bats are the most common carrier of the rabies virus (rhabdovirus) in the United States.
In developing countries, which animal is the most common carrier of the rabies virus (rhabdovirus)?	Dogs are the most common carrier of the rabies virus (rhabdovirus) in developing countries.
Between true ventricular aneurysm and pseudo-aneurysm, which one is more likely to rupture?	Pseudo-aneurysm is more likely to rupture than true ventricular aneurysm.
In terms of potency, which androgen is the most potent?	DHT is the most potent, followed by testosterone and then androstenedione.
Which androgen is responsible for the growth spurt, including the growth of the penis, seminal vesicles, sperm, and muscle?	Testosterone is responsible for the growth spurt, including the growth of the penis, seminal vesicles, sperm, and muscle.
Which androgen is responsible for libido, also known as sexual desire?	Testosterone is responsible for libido, also known as sexual desire.
Which androgen is responsible for the differentiation of the prostate?	Dihydrotestosterone (DHT) is responsible for the differentiation of the prostate.
Which androgen is responsible for the differentiation of the external male genitalia, such as the penis and scrotum?	Dihydrotestosterone (DHT) is responsible for the differentiation of the external male genitalia, such as the penis and scrotum.
Which androgen is responsible for the deepening of the voice during puberty?	Testosterone is responsible for the deepening of the voice during puberty.
Which androgen is responsible for the closure of epiphyseal plates, which leads to the cessation of pubertal growth?	Testosterone is responsible for the closure of epiphyseal plates, which leads to the cessation of pubertal growth.
Which androgen is commonly associated with sebaceous gland activity, which can lead to acne and other skin conditions?	Dihydrotestosterone (DHT) is commonly associated with sebaceous gland activity, which can lead to acne and other skin conditions.
Which androgen is commonly associated with the growth and development of the prostate gland?	Dihydrotestosterone (DHT) is commonly associated with the growth and development of the prostate gland.
Which androgen is commonly associated with male hair patterns and male pattern baldness?	Dihydrotestosterone (DHT) is commonly associated with male hair patterns and male pattern baldness.
Which type of amyloidosis may present with symptoms of carpal tunnel syndrome, such as numbness and tingling in the hands?	Any type of amyloidosis may present with symptoms of carpal tunnel syndrome.
Which aminopenicillin antibiotic is commonly used as part of the triple therapy treatment regimen for Helicobacter pylori infection?	Amoxicillin is commonly used as part of the triple therapy treatment regimen for Helicobacter pylori infection.
Which aminopenicillin antibiotic is commonly used prophylactically to prevent endocarditis in high-risk dental patients undergoing certain dental procedures?	Amoxicillin is commonly used prophylactically to prevent endocarditis in high-risk dental patients undergoing certain dental procedures.
Which aminoglycoside antibiotics are known to have activity against Pseudomonas bacterial infections?	Gentamicin, Tobramycin, and Amikacin are aminoglycoside antibiotics that are known to have activity against Pseudomonas bacterial infections.
Which aminoglycoside antibiotic is used to treat tularemia caused by Francisella tularensis?	Streptomycin is the aminoglycoside antibiotic used to treat tularemia caused by Francisella tularensis.
Among aminoglycoside antibiotics, which one remains active in the gastrointestinal tract?	Neomycin is the aminoglycoside antibiotic that remains active in the gastrointestinal tract.
Among aminoglycoside antibiotics, which one is used in bowel preparation before colorectal surgery?	Neomycin is the aminoglycoside antibiotic used in bowel preparation before colorectal surgery.
Among aminoglycoside antibiotics, which one is not administered intravenously?	Neomycin is the aminoglycoside antibiotic that is not given intravenously.
Among aminoglycoside antibiotics, which one is an intraluminal agent in the gastrointestinal tract and is active against parasites?	Paromomycin is the aminoglycoside antibiotic that is a GI intraluminal agent and is active against parasites.
What are the names of the amino acids that contain sulfur groups?	Cysteine and Methionine are the two amino acids that have sulfur groups.
What are the names of the amino acids that are targeted by protein kinase A and protein kinase C?	Serine and Threonine are the two amino acids that are the targets of protein kinase A and protein kinase C.
What are the names of the amino acids that serve as precursors to catecholamines and melanin?	Tyrosine and Phenylalanine are the two amino acids that act as precursors to both catecholamines and melanin.
What are the names of the amino acids that are essential during periods of growth?	Arginine and Histidine are the two amino acids that are required during periods of growth.
What are the names of the amino acids that are classified as ketogenic?	Leucine and Lysine are the two amino acids that are considered ketogenic.
What are the names of the amino acids that are distinguished by having branched side chains?	Valine, Leucine, and Isoleucine are the three amino acids that are characterized by their branched side chains.
What is the name of the amino acid that serves as the precursor to both serotonin and niacin?	Tryptophan is the amino acid that acts as the precursor to both serotonin and niacin.
What is the name of the amino acid that serves as the precursor to nitric oxide?	Arginine is the amino acid that acts as the precursor to nitric oxide.
What is the name of the amino acid that serves as the precursor to histamine?	Histidine is the amino acid that acts as the precursor to histamine.
What is the name of the amino acid that serves as the precursor to heme?	Glycine is the amino acid that acts as the precursor to heme.
What is the name of the amino acid that serves as the precursor to glutathione?	Glutamate is the amino acid that acts as the precursor to glutathione.
What is the name of the amino acid that serves as the precursor to GABA?	Glutamate is the amino acid that acts as the precursor to GABA.
What is the name of the amino acid that serves as the precursor to creatine?	Arginine is the amino acid that acts as the precursor to creatine.
What is the name of the amino acid that is a key component of the bacterial capsule in Bacillus anthracis?	D-glutamate is the amino acid that serves as a key component of the bacterial capsule in Bacillus anthracis.
With which allele is Abacavir hypersensitivity associated?	Abacavir hypersensitivity is associated with the HLA-B 57:01 allele.
What is the name of the alkylating agent that can cause hyperpigmentation?	Busulfan is the alkylating agent that can result in hyperpigmentation.
What is the name of the AIDS-defining illness that is caused directly by HIV?	Diffuse large B-cell lymphoma is the AIDS-defining illness that is caused directly by HIV.
What is the name of the AIDS opportunistic infection that stains acid-fast?	Mycobacterium avium complex is the AIDS opportunistic infection that stains acid-fast.
What is the name of the agar that is used to detect the production of hydrogen sulfide (H2S)?	Hektoen agar is the agar that detects the production of hydrogen sulfide (H2S).
What is the name of the sympatholytic adrenergic receptor?	α2 is the adrenergic receptor that is sympatholytic.
What is the name of the adrenal cortex deficiency that leads to shunting towards the androgen synthesis pathway?	21β-hydroxylase deficiency is the adrenal cortex deficiency that results in shunting towards the androgen synthesis pathway.
What is the name of the adrenal cortex deficiency that leads to shunting towards the aldosterone synthesis pathway?	17α-hydroxylase deficiency is the adrenal cortex deficiency that results in shunting towards the aldosterone synthesis pathway.
What is the name of the acyclovir prodrug that has improved oral bioavailability?	Valacyclovir is the name of the acyclovir prodrug that has improved oral bioavailability.
What is the name of the acid-base disturbance that is caused by an increase in HCO3-?	Metabolic alkalosis is the name of the acid-base disturbance that is caused by an increase in HCO3-.
What is the name of the acid-base disturbance that is caused by a decrease in HCO3-?	Metabolic acidosis is the name of the acid-base disturbance that is caused by a decrease in HCO3-.
Between omphalocele and gastroschisis, which abdominal wall defect is associated with other major malformations?	Omphalocele is the abdominal wall defect that is associated with other major malformations.
What is the name of the 3rd generation Cephalosporin that is commonly used to treat meningitis and gonorrhea?	Ceftriaxone is the 3rd generation Cephalosporin that is commonly used to treat meningitis and gonorrhea.
What is the name of the 3rd generation cephalosporin that is effective in treating Pseudomonas aeruginosa infection?	Ceftazidime is the 3rd generation cephalosporin that can treat Pseudomonas aeruginosa infection.
In the Unhappy Triad injury of the knee, which three structures are frequently affected?	The three structures that are commonly injured in Unhappy Triad are the ACL, MCL, and medial meniscus.
What is one of the two most common bacteria that cause Pelvic Inflammatory Disease (PID)?	One of the two most common bacteria that cause Pelvic Inflammatory Disease (PID) is Chlamydia trachomatis.
What are the two adult vaccines that are recommended for all patients with COPD?	The two adult vaccines that are recommended for all patients with COPD are the pneumococcal vaccine and the influenza vaccine.
In the mnemonic "Tender Loving Care for Nancy," which cofactor is inhibited by arsenic?	Arsenic inhibits the cofactor lipoic acid in the mnemonic "Tender Loving Care for Nancy."
Among the "SAD PERSONS" risk factors for suicide, which one carries the highest risk?	The "previous attempt" risk factor carries the highest risk for suicide among the "SAD PERSONS" risk factors.
Which area in the brain is known as the center for motor speech, also called the "language center"?	Broca's area is the center for motor speech, also known as the "language center" in the brain.
Which area in the brain is known as the center for language comprehension, also called the "language center"?	Wernicke's area is the center for language comprehension, also known as the "language center" in the brain.
Which "language center" is situated in the superior temporal gyrus of the temporal lobe of the brain?	Wernicke's area is the "language center" located in the superior temporal gyrus of the temporal lobe in the brain.
Which "language center" is situated in the inferior frontal gyrus of the frontal lobe in the brain?	Broca's area is the "language center" located in the inferior frontal gyrus of the frontal lobe in the brain.
Among the "DUMBBELSS" symptoms in cholinesterase inhibitor poisoning, which symptom is not relieved by administering atropine?	The symptoms of "Excitation of skeletal muscle and CNS" in cholinesterase inhibitor poisoning are not relieved by administering atropine.
In which specific area of the chest is venous hum typically auscultated?	Venous hum is typically auscultated in the right supraclavicular area of the chest.
In which part of the body is Staphylococcus epidermidis commonly found?	Staphylococcus epidermidis is commonly found on the skin.
In Osgood-Schlatter disease, at what specific location is the tenderness located?	The tenderness in Osgood-Schlatter disease is located at the tibial tubercle.
What is the typical location of pain experienced in individuals with Osgood-Schlatter disease, particularly in adolescent athletes?	Pain is typically felt at the tibial tubercle in individuals with Osgood-Schlatter disease, particularly in adolescent athletes.
In individuals with osteoarthritis of the hips, where is the pain typically felt?	The pain in individuals with osteoarthritis of the hips is typically felt in the groin region.
In which anatomical structure is the nucleus of CN XI (accessory nucleus) located?	The nucleus of CN XI (accessory nucleus) is located in the spinal cord.
At what level does the bifurcation of the internal carotid artery (ICA) and external carotid artery (ECA) typically occur?	The bifurcation of the ICA and ECA typically occurs at around the level of C3-C4.
In patients with iliotibial band syndrome, where is the tenderness typically located?	The tenderness in patients with iliotibial band syndrome is typically located at the lateral femoral epicondyle.
In cases of acute cholecystitis, where is the referred pain typically felt?	The referred pain in cases of acute cholecystitis is typically felt in the right shoulder or scapula.
In cases of perforation, where is the pain typically located?	The pain in cases of perforation is typically vague and generalized.
In cases of abruptio placentae, where is the pain typically located?	The pain in cases of abruptio placentae is typically located in the abdomen or back.
In which cellular organelle is most of the ribosomal RNA (rRNA) synthesized?	Most of the ribosomal RNA (rRNA) is synthesized in the nucleolus.
In which cellular structure is most messenger RNA (mRNA) and transfer RNA (tRNA) synthesized?	Most mRNA and tRNA are synthesized in the euchromatin of the nucleus within the chromatin.
In which type of cells does the Epstein-Barr virus (EBV) remain latent or dormant?	The Epstein-Barr virus (EBV) remains latent or dormant in B cells.
In which area of the heart is a murmur due to ventricular septal defect (VSD) the loudest?	A murmur due to ventricular septal defect (VSD) is typically loudest in the tricuspid area of the heart.
In which area of the heart is a murmur due to tricuspid regurgitation (TR) the loudest?	A murmur due to tricuspid regurgitation (TR) is typically loudest in the tricuspid area of the heart.
In which area of the heart is a murmur due to pulmonic stenosis (PS) the loudest?	A murmur due to pulmonic stenosis (PS) is typically loudest in the pulmonic area of the heart.
In which area of the chest is a murmur due to patent ductus arteriosus (PDA) best heard?	A murmur due to patent ductus arteriosus (PDA) is best heard in the left infraclavicular area of the chest.
In which area of the heart is a murmur due to mitral valve prolapse (MVP) the loudest?	A murmur due to mitral valve prolapse (MVP) is typically loudest at the apex (mitral area) of the heart.
In which area of the heart is a murmur due to mitral regurgitation (MR) the loudest?	A murmur due to mitral regurgitation (MR) is typically loudest at the apex (mitral area) of the heart.
In which area of the chest is a murmur due to hypertrophic cardiomyopathy (HCM) best heard?	A murmur due to hypertrophic cardiomyopathy (HCM) is best heard at the left sternal border of the chest.
In which area of the heart is a murmur due to atrial septal defect (ASD) the loudest?	A murmur due to atrial septal defect (ASD) is typically loudest in the pulmonic area of the heart.
In which area of the heart is a murmur due to aortic stenosis (AS) the loudest?	A murmur due to aortic stenosis (AS) is typically loudest at the heart base (aortic area) of the heart.
In which area of the chest is a murmur due to aortic regurgitation (AR) the loudest?	A murmur due to aortic regurgitation (AR) is typically loudest at the left sternal border of the chest.
In which part of the testis does the process of spermatogenesis occur?	Spermatogenesis occurs in the seminiferous tubules of the testis.
In which region of the spleen do splenic macrophages capture blood-borne antigens for recognition by lymphocytes?	Splenic macrophages capture blood-borne antigens for recognition by lymphocytes in the marginal zone of the spleen.
